host,port,clients,operations,keys,value_size,get_ratio,zipf_s,warmup,prefill,elapsed_seconds,throughput_rps,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,measured_ok_responses,measured_errors,warmup_ok_responses,warmup_errors
10.10.1.1,9091,1,100000,1024,0,1,0,5000,1,0.908665,110052,4.75097,4,8,12,100000,0,5000,0
10.10.1.1,9091,2,100000,1024,0,1,0,5000,1,0.294576,339471,4.80137,4,8,12,100000,0,5000,0
10.10.1.1,9091,4,100000,1024,0,1,0,5000,1,0.165785,603190,4.77993,4,8,12,100000,0,5000,0
10.10.1.1,9091,8,100000,1024,0,1,0,5000,1,0.104006,961483,4.81638,4,8,12,100000,0,5000,0
