label,transport,clients,metadata,operations,netdev,rx_bytes_before,tx_bytes_before,rx_bytes_after,tx_bytes_after,rx_bytes_delta,tx_bytes_delta,total_bytes_delta,rx_bytes_per_operation,tx_bytes_per_operation,total_bytes_per_operation
TCP,tcp,1,0,100000,ens1f1np1,303814269,463706340,313021590,477807476,9207321,14101136,23308457,92.073,141.011,233.085
TCP,tcp,2,0,100000,ens1f1np1,313022146,477808598,322234355,491905180,9212209,14096582,23308791,92.122,140.966,233.088
TCP,tcp,4,0,100000,ens1f1np1,322234911,491906301,331450591,506000371,9215680,14094070,23309750,92.157,140.941,233.097
TCP,tcp,8,0,100000,ens1f1np1,331451147,506001492,340661159,520103730,9210012,14102238,23312250,92.100,141.022,233.123
Two-Sided RDMA,two_sided_rdma,1,0,100000,ens1f1np1,340687468,520130067,340688851,520131086,1383,1019,2402,0.014,0.010,0.024
Two-Sided RDMA,two_sided_rdma,2,0,100000,ens1f1np1,340689440,520132245,340691275,520133584,1835,1339,3174,0.018,0.013,0.032
Two-Sided RDMA,two_sided_rdma,4,0,100000,ens1f1np1,340691864,520134746,340694603,520136791,2739,2045,4784,0.027,0.020,0.048
Two-Sided RDMA,two_sided_rdma,8,0,100000,ens1f1np1,340695192,520137954,340699739,520141411,4547,3457,8004,0.045,0.035,0.080
One-Sided RDMA,one_sided_rdma,1,0,100000,ens1f1np1,340744840,520187803,340745771,520188502,931,699,1630,0.009,0.007,0.016
One-Sided RDMA,one_sided_rdma,2,0,100000,ens1f1np1,340746360,520189657,340747743,520190676,1383,1019,2402,0.014,0.010,0.024
One-Sided RDMA,one_sided_rdma,4,0,100000,ens1f1np1,340748332,520191833,340750619,520193492,2287,1659,3946,0.023,0.017,0.039
One-Sided RDMA,one_sided_rdma,8,0,100000,ens1f1np1,340751208,520194649,340755303,520197786,4095,3137,7232,0.041,0.031,0.072
One-Sided RDMA + Metadata,one_sided_rdma_metadata,1,1,100000,ens1f1np1,340755921,520198945,340756861,520199653,940,708,1648,0.009,0.007,0.016
One-Sided RDMA + Metadata,one_sided_rdma_metadata,2,1,100000,ens1f1np1,340757479,520200857,340758871,520201885,1392,1028,2420,0.014,0.010,0.024
One-Sided RDMA + Metadata,one_sided_rdma_metadata,4,1,100000,ens1f1np1,340759489,520203091,340761785,520204759,2296,1668,3964,0.023,0.017,0.040
One-Sided RDMA + Metadata,one_sided_rdma_metadata,8,1,100000,ens1f1np1,340762403,520205965,340766507,520208979,4104,3014,7118,0.041,0.030,0.071
