label,transport,clients,metadata,pid,started_at,ended_at,duration_s,samples,avg_process_cpu_percent,max_process_cpu_percent,avg_host_cpu_percent,max_host_cpu_percent
TCP,tcp,1,0,23162,2026-05-03T20:59:26+00:00,2026-05-03T20:59:37+00:00,10.699,54,17.711,25.000,1.208,2.228
TCP,tcp,2,0,23162,2026-05-03T20:59:37+00:00,2026-05-03T20:59:42+00:00,5.330,27,29.412,40.201,2.180,3.483
TCP,tcp,4,0,23162,2026-05-03T20:59:42+00:00,2026-05-03T20:59:45+00:00,3.326,17,56.194,70.707,4.098,5.941
TCP,tcp,8,0,23162,2026-05-03T20:59:45+00:00,2026-05-03T20:59:47+00:00,1.469,8,62.149,75.377,5.117,6.500
Two-Sided RDMA,two_sided_rdma,1,0,23193,2026-05-03T21:00:50+00:00,2026-05-03T21:00:51+00:00,0.831,5,76.806,99.751,3.790,4.988
Two-Sided RDMA,two_sided_rdma,2,0,23193,2026-05-03T21:00:51+00:00,2026-05-03T21:00:52+00:00,0.802,4,174.765,199.501,8.799,10.224
Two-Sided RDMA,two_sided_rdma,4,0,23193,2026-05-03T21:00:52+00:00,2026-05-03T21:00:53+00:00,0.528,3,277.339,399.002,13.735,20.200
Two-Sided RDMA,two_sided_rdma,8,0,23193,2026-05-03T21:00:53+00:00,2026-05-03T21:00:53+00:00,0.364,2,513.370,521.739,25.142,25.750
One-Sided RDMA,one_sided_rdma,1,0,23276,2026-05-03T21:01:28+00:00,2026-05-03T21:01:29+00:00,0.954,5,0.000,0.000,0.066,0.330
One-Sided RDMA,one_sided_rdma,2,0,23276,2026-05-03T21:01:29+00:00,2026-05-03T21:01:29+00:00,0.341,2,0.000,0.000,0.000,0.000
One-Sided RDMA,one_sided_rdma,4,0,23276,2026-05-03T21:01:29+00:00,2026-05-03T21:01:29+00:00,0.215,2,0.000,0.000,0.125,0.249
One-Sided RDMA,one_sided_rdma,8,0,23276,2026-05-03T21:01:29+00:00,2026-05-03T21:01:29+00:00,0.153,1,13.245,13.245,0.331,0.331
One-Sided RDMA + Metadata,one_sided_rdma_metadata,1,1,23276,2026-05-03T21:01:30+00:00,2026-05-03T21:01:31+00:00,1.283,7,0.000,0.000,0.142,0.249
One-Sided RDMA + Metadata,one_sided_rdma_metadata,2,1,23276,2026-05-03T21:01:31+00:00,2026-05-03T21:01:31+00:00,0.525,3,1.667,5.000,0.135,0.405
One-Sided RDMA + Metadata,one_sided_rdma_metadata,4,1,23276,2026-05-03T21:01:31+00:00,2026-05-03T21:01:32+00:00,0.305,2,2.494,4.988,0.125,0.249
One-Sided RDMA + Metadata,one_sided_rdma_metadata,8,1,23276,2026-05-03T21:01:32+00:00,2026-05-03T21:01:32+00:00,0.196,1,10.204,10.204,0.765,0.765
