result_kind,workload_id,workload,variant,repeat,seed,json,csv,log,measured_ops_per_sec,measured_seconds,elapsed_seconds,run_mean_p95_ms,predicted_hot_dirs,predicted_eval_hot_dirs,predicted_eval_cold_dirs,predicted_hot_dir_precision,total_promotions,promoted_hot,promoted_cold,layout_failures
external,direct_mdtest_10k,mdtest_10k,external,4,9104,results/cloudlab-paperready-20260506-3x/direct_mdtest_10k__external__r4.external.json,,results/cloudlab-paperready-20260506-3x/direct_mdtest_10k__external__r4.log,2038.614667,72.266697,72.266697,,,,,,,,,
external,direct_mdtest,mdtest,external,0,9100,results/cloudlab-paperready-20260506-3x/direct_mdtest__external__r0.external.json,,results/cloudlab-paperready-20260506-3x/direct_mdtest__external__r0.log,2225.168667,25.260123,25.260123,,,,,,,,,
external,direct_mdtest,mdtest,external,1,9101,results/cloudlab-paperready-20260506-3x/direct_mdtest__external__r1.external.json,,results/cloudlab-paperready-20260506-3x/direct_mdtest__external__r1.log,2048.192333,29.115944,29.115944,,,,,,,,,
external,direct_mdtest,mdtest,external,2,9102,results/cloudlab-paperready-20260506-3x/direct_mdtest__external__r2.external.json,,results/cloudlab-paperready-20260506-3x/direct_mdtest__external__r2.log,2544.663667,21.374919,21.374919,,,,,,,,,
external,direct_mdtest,mdtest,external,3,9103,results/cloudlab-paperready-20260506-3x/direct_mdtest__external__r3.external.json,,results/cloudlab-paperready-20260506-3x/direct_mdtest__external__r3.log,2200.722833,27.245553,27.245553,,,,,,,,,
external,direct_mdtest,mdtest,external,4,9104,results/cloudlab-paperready-20260506-3x/direct_mdtest__external__r4.external.json,,results/cloudlab-paperready-20260506-3x/direct_mdtest__external__r4.log,2243.679167,40.334077,40.334077,,,,,,,,,
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,native,0,9100,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r0.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r0.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r0.log,439.923976,54.554881,54.827185,74.3450725,,,,,,,,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,native,1,9101,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r1.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r1.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r1.log,343.580986,69.852527,70.655135,115.90096949999999,,,,,,,,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,native,2,9102,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r2.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r2.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r2.log,366.902409,65.41249,66.18147,87.76428449999999,,,,,,,,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,native,3,9103,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r3.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r3.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r3.log,944.161911,25.419369,27.261508,2.7479001666666663,,,,,,,,0
