phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
oracle_hotcold_mix,bulk_create,20000,1.663899,12019.958,0.603376,0.475659,0.722535,1.264026,20260506-201906-e5d02c80,posix,8,none,predictive_cold_segments,20000,4096,128,80000,9200,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_access_stat,80000,10.014959,7988.05,0.982932,0.964796,1.291193,1.458385,20260506-201906-e5d02c80,posix,8,none,predictive_cold_segments,20000,4096,128,80000,9200,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_access_read,20000,5.220118,3831.331,1.998831,1.99661,2.526652,2.814766,20260506-201906-e5d02c80,posix,8,none,predictive_cold_segments,20000,4096,128,80000,9200,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_hot_churn_create,10000,2.14177,4669.036,1.21698,0.047422,0.281872,0.530855,20260506-201906-e5d02c80,posix,8,none,predictive_cold_segments,20000,4096,128,80000,9200,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_hot_churn_delete,10000,0.052678,189834.258,0.026209,0.003358,0.00672,0.00814,20260506-201906-e5d02c80,posix,8,none,predictive_cold_segments,20000,4096,128,80000,9200,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,cleanup_delete,20000,0.087621,228256.945,0.027135,0.003035,0.00433,0.006683,20260506-201906-e5d02c80,posix,8,none,predictive_cold_segments,20000,4096,128,80000,9200,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
