result_kind,workload_id,variant,operation,runs,mean_ops_per_sec,mean_latency_p95_ms,mean_latency_p99_ms
inrepo,predictor_false_hot_churn,predictor_nolearn,false_hot_probe_create,5,16797.9666,0.626346,1.30116
inrepo,predictor_false_hot_churn,predictor_nolearn,false_hot_probe_read,5,3724.7154,2.571739,5.884792
inrepo,recreated_filebench_varmail_like,native,cleanup_delete,5,111.606,24.410699,104.842481
inrepo,recreated_filebench_varmail_like,native,initial_create,5,131.0994,4.966002,48.679127
inrepo,recreated_filebench_varmail_like,native,mixed_mail_ops,5,79.9312,27.769188,233.569145
inrepo,recreated_filebench_varmail_like,oracle,cleanup_delete,5,132294.212,0.002509,0.005273
inrepo,recreated_filebench_varmail_like,oracle,initial_create,5,15550.1178,0.027364,0.051993
inrepo,recreated_filebench_varmail_like,oracle,mixed_mail_ops,5,633.9938,10.399141,11.472053
inrepo,recreated_filebench_varmail_like,predictor,cleanup_delete,5,246.493,17.130784,63.702976
inrepo,recreated_filebench_varmail_like,predictor,initial_create,5,14634.1944,0.039269,0.08059
inrepo,recreated_filebench_varmail_like,predictor,mixed_mail_ops,5,271.3844,11.848289,69.191906
inrepo,recreated_filebench_varmail_like,predictor_nolearn,cleanup_delete,5,121724.5408,0.003702,0.006638
inrepo,recreated_filebench_varmail_like,predictor_nolearn,initial_create,5,13421.3496,0.046216,0.089541
inrepo,recreated_filebench_varmail_like,predictor_nolearn,mixed_mail_ops,5,629.6134,10.403257,11.516581
inrepo,recreated_mdtest_tree,native,create,5,129.9876,6.6451,2438.540868
inrepo,recreated_mdtest_tree,native,delete,5,1295.6822,7.924224,134.904237
inrepo,recreated_mdtest_tree,native,read,5,3542.188,2.748623,3.108776
inrepo,recreated_mdtest_tree,native,stat,5,5181.878,1.865928,2.204259
inrepo,recreated_mdtest_tree,oracle,create,5,23528.9054,0.339152,1.002872
inrepo,recreated_mdtest_tree,oracle,delete,5,209871.6488,0.003744,0.006683
inrepo,recreated_mdtest_tree,oracle,read,5,5950.333,1.624134,1.852807
inrepo,recreated_mdtest_tree,oracle,stat,5,7759.9732,1.295369,1.458989
inrepo,recreated_mdtest_tree,predictor,create,5,18110.5552,0.441223,1.155214
