phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
mdtest_tree,create,3000,22.7602,131.809,60.682055,4.042192,5.527534,2932.961541,20260506-151416-bae7d225,posix,8,none,native,3000,1024,64,6000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
mdtest_tree,stat,3000,0.504043,5951.869,1.290529,1.259853,1.733163,2.086526,20260506-151416-bae7d225,posix,8,none,native,3000,1024,64,6000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
mdtest_tree,read,3000,0.789,3802.283,2.063652,2.028717,2.540381,2.986431,20260506-151416-bae7d225,posix,8,none,native,3000,1024,64,6000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
mdtest_tree,delete,3000,2.55855,1172.539,6.253489,2.177197,4.133431,130.501712,20260506-151416-bae7d225,posix,8,none,native,3000,1024,64,6000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
