phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
oracle_hotcold_mix,bulk_create,3000,0.177336,16917.052,0.395387,0.335224,0.533375,1.205355,20260506-200800-5ac23ded,posix,8,none,predictive_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_access_stat,12000,1.535072,7817.223,0.983791,0.967928,1.312375,1.485906,20260506-200800-5ac23ded,posix,8,none,predictive_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_access_read,3000,0.698843,4292.807,1.745256,1.769159,2.351226,2.614604,20260506-200800-5ac23ded,posix,8,none,predictive_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_hot_churn_create,1500,0.057374,26144.29,0.082793,0.025978,0.035028,0.08862,20260506-200800-5ac23ded,posix,8,none,predictive_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_hot_churn_delete,1500,0.009379,159923.782,0.008191,0.003376,0.003757,0.006329,20260506-200800-5ac23ded,posix,8,none,predictive_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,cleanup_delete,3000,0.016716,179469.792,0.01136,0.003378,0.003718,0.006626,20260506-200800-5ac23ded,posix,8,none,predictive_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
