phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
ycsb_file_skew,ycsb_load_create,3000,4.0341,743.66,4.954715,0.033727,2.867392,3.974588,20260506-163225-73155d30,posix,8,none,oracle_cold_segments,3000,4096,64,9000,9101,0.9,0.1,hotspot,0.2,0.2,0.8,0.99
ycsb_file_skew,ycsb_hotspot_read,7200,1.201595,5992.037,1.223574,1.068725,2.117966,2.701169,20260506-163225-73155d30,posix,8,none,oracle_cold_segments,3000,4096,64,9000,9101,0.9,0.1,hotspot,0.2,0.2,0.8,0.99
ycsb_file_skew,ycsb_hotspot_update,1800,22.177393,81.164,95.347932,53.863504,270.74364,343.551588,20260506-163225-73155d30,posix,8,none,oracle_cold_segments,3000,4096,64,9000,9101,0.9,0.1,hotspot,0.2,0.2,0.8,0.99
ycsb_file_skew,cleanup_delete,3000,3.314268,905.177,4.492245,0.00566,32.882285,74.78329,20260506-163225-73155d30,posix,8,none,oracle_cold_segments,3000,4096,64,9000,9101,0.9,0.1,hotspot,0.2,0.2,0.8,0.99
