phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
mdtest_tree,create,3000,0.163563,18341.506,0.403656,0.384486,0.442692,1.095689,20260506-200749-ebc3fb51,posix,8,none,predictive_cold_segments,3000,1024,64,6000,9103,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
mdtest_tree,stat,3000,0.364217,8236.849,0.941633,0.923844,1.240998,1.400077,20260506-200749-ebc3fb51,posix,8,none,predictive_cold_segments,3000,1024,64,6000,9103,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
mdtest_tree,read,3000,0.490032,6122.055,1.283426,1.258293,1.561417,1.705455,20260506-200749-ebc3fb51,posix,8,none,predictive_cold_segments,3000,1024,64,6000,9103,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
mdtest_tree,delete,3000,0.0167,179638.707,0.011081,0.003373,0.00639,0.008168,20260506-200749-ebc3fb51,posix,8,none,predictive_cold_segments,3000,1024,64,6000,9103,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
