phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
ycsb_file_skew,ycsb_load_create,3000,3.125765,959.765,6.231961,0.031032,2.710599,3.747029,20260506-182709-5cdd76dc,posix,8,none,oracle_cold_segments,3000,4096,64,9000,9104,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
ycsb_file_skew,ycsb_zipfian_read,7200,1.559443,4617.035,1.643086,1.344171,2.457506,3.005123,20260506-182709-5cdd76dc,posix,8,none,oracle_cold_segments,3000,4096,64,9000,9104,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
ycsb_file_skew,ycsb_zipfian_update,1800,20.720216,86.872,84.032638,35.716886,262.720844,674.056022,20260506-182709-5cdd76dc,posix,8,none,oracle_cold_segments,3000,4096,64,9000,9104,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
ycsb_file_skew,cleanup_delete,3000,0.159545,18803.455,0.36375,0.003296,1.969824,2.451392,20260506-182709-5cdd76dc,posix,8,none,oracle_cold_segments,3000,4096,64,9000,9104,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
