phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
ycsb_file_skew,ycsb_load_create,3000,0.178716,16786.438,0.392148,0.33588,0.469767,1.26425,20260506-203212-49617136,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9103,0.9,0.1,hotspot,0.2,0.2,0.8,0.99
ycsb_file_skew,ycsb_hotspot_read,7200,1.774143,4058.298,1.880515,1.931705,2.409888,2.714356,20260506-203212-49617136,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9103,0.9,0.1,hotspot,0.2,0.2,0.8,0.99
ycsb_file_skew,ycsb_hotspot_update,1800,0.078175,23025.27,0.132806,0.028251,0.050432,0.088388,20260506-203212-49617136,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9103,0.9,0.1,hotspot,0.2,0.2,0.8,0.99
ycsb_file_skew,cleanup_delete,3000,0.016852,178019.135,0.011689,0.003482,0.003809,0.006942,20260506-203212-49617136,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9103,0.9,0.1,hotspot,0.2,0.2,0.8,0.99
