phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
predictor_false_hot_churn,false_hot_probe_create,3000,0.183585,16341.199,0.456084,0.405429,0.6739,1.270789,20260506-195345-412fbf0d,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9103,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
predictor_false_hot_churn,false_hot_probe_read,480,0.116385,4124.236,1.860947,1.812994,2.299784,6.079317,20260506-195345-412fbf0d,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9103,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
predictor_false_hot_churn,false_hot_churn_create,9000,94.332182,95.408,65.60226,2.367048,278.04658,534.197551,20260506-195345-412fbf0d,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9103,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
predictor_false_hot_churn,cleanup_delete,12000,31.003767,387.05,18.372488,1.442642,109.859593,151.45705,20260506-195345-412fbf0d,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9103,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
