phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
oracle_hotcold_mix,bulk_create,3000,0.61356,4889.498,0.91812,0.023215,2.576946,4.170095,20260506-163413-935e900c,posix,8,none,oracle_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_access_stat,12000,1.491023,8048.163,0.974071,0.957602,1.255996,1.44025,20260506-163413-935e900c,posix,8,none,oracle_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_access_read,3000,0.443175,6769.336,1.163204,1.068133,1.922977,2.35502,20260506-163413-935e900c,posix,8,none,oracle_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_hot_churn_create,1500,16.680215,89.927,85.543672,2.391058,326.997491,624.083587,20260506-163413-935e900c,posix,8,none,oracle_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,oracle_hot_churn_delete,1500,6.815736,220.079,34.495963,2.639234,141.070546,248.473983,20260506-163413-935e900c,posix,8,none,oracle_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
oracle_hotcold_mix,cleanup_delete,3000,2.761048,1086.544,3.774853,0.005356,33.33958,107.141392,20260506-163413-935e900c,posix,8,none,oracle_cold_segments,3000,4096,64,12000,9101,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
