hotcold_cold90_access10__predictor_nolearn__r0	hotcold_cold90_access10	predictor_nolearn	0	9100
ycsb_hotspot_file_skew__predictor_nolearn__r1	ycsb_hotspot_file_skew	predictor_nolearn	1	9101
recreated_filebench_varmail_like__predictor__r3	recreated_filebench_varmail_like	predictor	3	9103
predictor_false_hot_churn__oracle__r1	predictor_false_hot_churn	oracle	1	9101
hotcold_cold90_access10__predictor__r3	hotcold_cold90_access10	predictor	3	9103
predictor_false_hot_churn__predictor_nolearn__r1	predictor_false_hot_churn	predictor_nolearn	1	9101
direct_mdtest_10k__external__r4	direct_mdtest_10k	external	4	9104
predictor_false_hot_churn__predictor_nolearn__r4	predictor_false_hot_churn	predictor_nolearn	4	9104
predictor_false_hot_churn__predictor__r4	predictor_false_hot_churn	predictor	4	9104
predictor_false_hot_churn__predictor__r2	predictor_false_hot_churn	predictor	2	9102
scaled_hotcold_cold90_access10_20k__native__r2	scaled_hotcold_cold90_access10_20k	native	2	9202
scaled_hotcold_cold90_access10_20k__predictor__r1	scaled_hotcold_cold90_access10_20k	predictor	1	9201
recreated_mdtest_tree__predictor__r4	recreated_mdtest_tree	predictor	4	9104
recreated_filebench_varmail_like__oracle__r4	recreated_filebench_varmail_like	oracle	4	9104
hotcold_cold90_access10__predictor_nolearn__r2	hotcold_cold90_access10	predictor_nolearn	2	9102
ycsb_hotspot_file_skew__oracle__r3	ycsb_hotspot_file_skew	oracle	3	9103
scaled_hotcold_cold90_access10_20k__predictor_nolearn__r2	scaled_hotcold_cold90_access10_20k	predictor_nolearn	2	9202
direct_ior_512m__external__r3	direct_ior_512m	external	3	9103
predictor_false_hot_churn__oracle__r4	predictor_false_hot_churn	oracle	4	9104
ycsb_zipfian_file_skew__predictor_nolearn__r0	ycsb_zipfian_file_skew	predictor_nolearn	0	9100
direct_mdtest_10k__external__r3	direct_mdtest_10k	external	3	9103
hotcold_cold90_access10__predictor_nolearn__r4	hotcold_cold90_access10	predictor_nolearn	4	9104
ycsb_hotspot_file_skew__native__r3	ycsb_hotspot_file_skew	native	3	9103
recreated_filebench_varmail_like__predictor_nolearn__r2	recreated_filebench_varmail_like	predictor_nolearn	2	9102
scaled_hotcold_cold90_access10_20k__native__r1	scaled_hotcold_cold90_access10_20k	native	1	9201
direct_ior__external__r3	direct_ior	external	3	9103
recreated_filebench_varmail_like__native__r4	recreated_filebench_varmail_like	native	4	9104
hotcold_cold90_access10__native__r4	hotcold_cold90_access10	native	4	9104
direct_ior__external__r4	direct_ior	external	4	9104
scaled_hotcold_cold90_access10_20k__predictor__r0	scaled_hotcold_cold90_access10_20k	predictor	0	9200
predictor_false_hot_churn__native__r2	predictor_false_hot_churn	native	2	9102
ycsb_hotspot_file_skew__predictor_nolearn__r4	ycsb_hotspot_file_skew	predictor_nolearn	4	9104
direct_mdtest__external__r3	direct_mdtest	external	3	9103
scaled_hotcold_cold90_access10_20k__oracle__r1	scaled_hotcold_cold90_access10_20k	oracle	1	9201
ycsb_zipfian_file_skew__predictor__r4	ycsb_zipfian_file_skew	predictor	4	9104
scaled_hotcold_cold90_access10_20k__oracle__r2	scaled_hotcold_cold90_access10_20k	oracle	2	9202
scaled_hotcold_cold90_access10_20k__oracle__r0	scaled_hotcold_cold90_access10_20k	oracle	0	9200
ycsb_zipfian_file_skew__native__r4	ycsb_zipfian_file_skew	native	4	9104
predictor_false_hot_churn__predictor_nolearn__r3	predictor_false_hot_churn	predictor_nolearn	3	9103
