phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
predictor_false_hot_churn,false_hot_probe_create,3000,0.199512,15036.683,0.500648,0.445596,0.871194,1.530678,20260506-193511-502ae940,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9100,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
predictor_false_hot_churn,false_hot_probe_read,480,0.128712,3729.244,2.069643,2.01866,2.628426,5.778745,20260506-193511-502ae940,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9100,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
predictor_false_hot_churn,false_hot_churn_create,9000,0.471932,19070.542,0.279751,0.074846,0.39418,0.564254,20260506-193511-502ae940,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9100,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
predictor_false_hot_churn,cleanup_delete,12000,0.071249,168423.494,0.029337,0.0035,0.006457,0.008088,20260506-193511-502ae940,posix,8,none,predictive_cold_segments,3000,4096,64,9000,9100,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
