phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction,ycsb_distribution,ycsb_update_fraction,ycsb_hot_fraction,ycsb_hot_op_fraction,ycsb_zipf_alpha
mdtest_tree,create,3000,0.172914,17349.692,0.430377,0.410463,0.471572,1.146431,20260506-151406-b84d4dde,posix,8,none,predictive_cold_segments,3000,1024,64,6000,9102,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
mdtest_tree,stat,3000,0.319918,9377.389,0.837154,0.828406,1.07447,1.191135,20260506-151406-b84d4dde,posix,8,none,predictive_cold_segments,3000,1024,64,6000,9102,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
mdtest_tree,read,3000,0.534011,5617.864,1.333567,1.317902,1.592465,1.898915,20260506-151406-b84d4dde,posix,8,none,predictive_cold_segments,3000,1024,64,6000,9102,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
mdtest_tree,delete,3000,0.013428,223419.12,0.009321,0.002657,0.003028,0.006652,20260506-151406-b84d4dde,posix,8,none,predictive_cold_segments,3000,1024,64,6000,9102,0.9,0.1,zipfian,0.2,0.2,0.8,0.99
