host,port,clients,operations,keys,value_size,get_ratio,zipf_s,warmup,prefill,elapsed_seconds,throughput_rps,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,measured_ok_responses,measured_errors,warmup_ok_responses,warmup_errors
10.10.1.1,9091,1,100000,1024,0,1,0,5000,1,0.896032,111603,7.77086,7,11,15,100000,0,5000,0
10.10.1.1,9091,2,100000,1024,0,1,0,5000,1,0.476386,209914,7.86082,7,11,16,100000,0,5000,0
10.10.1.1,9091,4,100000,1024,0,1,0,5000,1,0.255236,391795,7.89671,7,11,16,100000,0,5000,0
10.10.1.1,9091,8,100000,1024,0,1,0,5000,1,0.149856,667308,8.05469,7,12,16,100000,0,5000,0
