phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction
oracle_hotcold_mix,bulk_create,3000,0.818773,3664.02,1.199292,0.021436,2.442615,3.78436,20260506-041226-f2993a49,posix,8,none,oracle_cold_segments,3000,4096,64,12000,2001,0.9,0.1
oracle_hotcold_mix,oracle_access_stat,12000,1.541085,7786.723,1.004743,1.072252,1.457904,1.644969,20260506-041226-f2993a49,posix,8,none,oracle_cold_segments,3000,4096,64,12000,2001,0.9,0.1
oracle_hotcold_mix,oracle_access_read,3000,0.539952,5556.047,1.382809,1.261333,2.213922,2.689932,20260506-041226-f2993a49,posix,8,none,oracle_cold_segments,3000,4096,64,12000,2001,0.9,0.1
oracle_hotcold_mix,oracle_hot_churn_create,1500,21.141704,70.95,82.699709,2.064715,188.892446,254.3401,20260506-041226-f2993a49,posix,8,none,oracle_cold_segments,3000,4096,64,12000,2001,0.9,0.1
oracle_hotcold_mix,oracle_hot_churn_delete,1500,9.142174,164.075,25.015904,9.123699,94.922691,160.761362,20260506-041226-f2993a49,posix,8,none,oracle_cold_segments,3000,4096,64,12000,2001,0.9,0.1
oracle_hotcold_mix,cleanup_delete,3000,2.64161,1135.671,3.578602,0.0054,36.216503,101.060911,20260506-041226-f2993a49,posix,8,none,oracle_cold_segments,3000,4096,64,12000,2001,0.9,0.1
