scenario,cold_fraction,cold_access_fraction,variant,repeat,seed,json,csv,log,wall_seconds,measured_ops_per_sec,measured_seconds,namespace_entries,total_promotions,promoted_hot,promoted_cold,promotion_failures,layout_failures
cold70_access20,0.7,0.2,native,1,2001,results/cloudlab-predictor-profile-native-20260506/cold70_access20__native__r1.json,results/cloudlab-predictor-profile-native-20260506/cold70_access20__native__r1.csv,results/cloudlab-predictor-profile-native-20260506/cold70_access20__native__r1.log,66.395437,371.281648,64.640954,4565,0,0,0,0,0
cold90_access20,0.9,0.2,native,1,2001,results/cloudlab-predictor-profile-native-20260506/cold90_access20__native__r1.json,results/cloudlab-predictor-profile-native-20260506/cold90_access20__native__r1.csv,results/cloudlab-predictor-profile-native-20260506/cold90_access20__native__r1.log,64.429979,382.617955,62.725755,4565,0,0,0,0,0
cold90_access10,0.9,0.1,native,1,2001,results/cloudlab-predictor-profile-native-20260506/cold90_access10__native__r1.json,results/cloudlab-predictor-profile-native-20260506/cold90_access10__native__r1.csv,results/cloudlab-predictor-profile-native-20260506/cold90_access10__native__r1.log,59.34852,418.015005,57.414207,4565,0,0,0,0,0
cold90_access20,0.9,0.2,native,0,2000,results/cloudlab-predictor-profile-native-20260506/cold90_access20__native__r0.json,results/cloudlab-predictor-profile-native-20260506/cold90_access20__native__r0.csv,results/cloudlab-predictor-profile-native-20260506/cold90_access20__native__r0.log,64.347754,383.465971,62.58704,4565,0,0,0,0,0
cold70_access20,0.7,0.2,native,0,2000,results/cloudlab-predictor-profile-native-20260506/cold70_access20__native__r0.json,results/cloudlab-predictor-profile-native-20260506/cold70_access20__native__r0.csv,results/cloudlab-predictor-profile-native-20260506/cold70_access20__native__r0.log,70.39949,349.177072,68.733035,4565,0,0,0,0,0
cold90_access10,0.9,0.1,native,0,2000,results/cloudlab-predictor-profile-native-20260506/cold90_access10__native__r0.json,results/cloudlab-predictor-profile-native-20260506/cold90_access10__native__r0.csv,results/cloudlab-predictor-profile-native-20260506/cold90_access10__native__r0.log,61.459931,402.904242,59.567504,4565,0,0,0,0,0
