cold_access_fraction,cold_fraction,csv,json,log,repeat,scenario,seed,variant,wall_seconds,measured_ops_per_sec,measured_seconds,elapsed_seconds,physical_namespace_entries_estimate,physical_files_created_estimate,packed_create_fraction,index_flushes,data_flushes,layout_xattrs_attempted,layout_xattrs_applied,layout_xattr_failures
0.0,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__hybrid__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__hybrid__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__hybrid__r2.log,2,cold90_access0,1002,hybrid,36.048396,696.344071,34.46572,34.768591,1809,1802,0.6,12,11,0,0,0
0.0,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__native__r0.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__native__r0.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__native__r0.log,0,cold70_access0,1000,native,75.74874,323.830083,74.112942,74.477128,4565,4500,0.0,,,,,0
0.1,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid_layout__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid_layout__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access10__hybrid_layout__r2.log,2,cold90_access10,1002,hybrid_layout,22.111875,1164.466904,20.610289,20.83507,1809,1802,0.6,12,11,6,6,0
0.2,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__native__r0.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__native__r0.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__native__r0.log,0,cold70_access20,1000,native,59.590929,415.576177,57.751145,58.319886,4565,4500,0.0,,,,,0
0.1,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__native__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__native__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__native__r2.log,2,cold70_access10,1002,native,66.931561,368.987748,65.04281,65.647996,4565,4500,0.0,,,,,0
0.1,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__native__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__native__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__native__r1.log,1,cold70_access10,1001,native,76.462353,320.763357,74.821514,75.185565,4565,4500,0.0,,,,,0
0.0,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid__r2.log,2,cold70_access0,1002,hybrid,44.49312,561.440644,42.747172,43.231912,2409,2402,0.466667,10,9,0,0,0
0.0,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid_layout__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid_layout__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid_layout__r1.log,1,cold70_access0,1001,hybrid_layout,47.99984,516.072688,46.505077,46.72744,2409,2402,0.466667,10,9,6,6,0
0.0,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__native__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__native__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__native__r1.log,1,cold70_access0,1001,native,61.174989,404.685723,59.30528,59.917046,4565,4500,0.0,,,,,0
0.2,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid_layout__r2.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid_layout__r2.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__hybrid_layout__r2.log,2,cold70_access20,1002,hybrid_layout,73.311296,334.865358,71.670597,72.047251,2409,2402,0.466667,10,9,6,6,0
0.2,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__hybrid_layout__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__hybrid_layout__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__hybrid_layout__r1.log,1,cold90_access20,1001,hybrid_layout,65.616106,374.994259,64.00098,64.334162,1809,1802,0.6,12,11,6,6,0
0.2,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__native__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__native__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access20__native__r1.log,1,cold90_access20,1001,native,66.603805,369.657831,64.924906,65.351395,4565,4500,0.0,,,,,0
0.1,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid__r0.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid__r0.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access10__hybrid__r0.log,0,cold70_access10,1000,hybrid,31.202751,806.607343,29.754254,29.92875,2409,2402,0.466667,10,9,0,0,0
0.2,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__native__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__native__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access20__native__r1.log,1,cold70_access20,1001,native,72.073226,340.513363,70.481815,70.82108,4565,4500,0.0,,,,,0
0.0,0.7,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid__r0.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid__r0.json,results/cloudlab-hotcold-matrix-20260506-3x/cold70_access0__hybrid__r0.log,0,cold70_access0,1000,hybrid,57.264494,431.003864,55.683956,55.989572,2409,2402,0.466667,10,9,0,0,0
0.0,0.9,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__hybrid__r1.csv,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__hybrid__r1.json,results/cloudlab-hotcold-matrix-20260506-3x/cold90_access0__hybrid__r1.log,1,cold90_access0,1001,hybrid,20.878161,1232.849157,19.467102,19.627475,1809,1802,0.6,12,11,0,0,0
