phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction
hotdirs_zipf,skewed_create,3000,18.473152,162.398,44.546919,4.762285,6.317712,3008.47557,20260506-124808-85ce0ea0,posix,8,none,native,3000,4096,64,6000,8002,0.9,0.1
hotdirs_zipf,skewed_stat,3000,1.853383,1618.662,3.979828,0.970906,1.475665,55.421917,20260506-124808-85ce0ea0,posix,8,none,native,3000,4096,64,6000,8002,0.9,0.1
hotdirs_zipf,skewed_delete,3000,8.808566,340.578,17.582836,1.293927,123.695474,317.466986,20260506-124808-85ce0ea0,posix,8,none,native,3000,4096,64,6000,8002,0.9,0.1
