phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,run_id,backend,workers,policy,storage,file_count,file_size,dirs,ops,seed,oracle_cold_fraction,oracle_cold_access_fraction
hotdirs_zipf,skewed_create,3000,19.371993,154.863,50.288202,5.424946,6.459217,2301.852683,20260506-131632-924dfeed,posix,8,none,oracle_cold_segments,3000,4096,64,6000,8001,0.9,0.1
hotdirs_zipf,skewed_stat,3000,0.39969,7505.817,1.034337,1.010601,1.395303,1.605477,20260506-131632-924dfeed,posix,8,none,oracle_cold_segments,3000,4096,64,6000,8001,0.9,0.1
hotdirs_zipf,skewed_delete,3000,1.405618,2134.293,3.694139,4.20834,4.794267,13.633933,20260506-131632-924dfeed,posix,8,none,oracle_cold_segments,3000,4096,64,6000,8001,0.9,0.1
