workload_id,workload,variant,repeat,seed,json,csv,log,measured_ops_per_sec,measured_seconds,elapsed_seconds,run_mean_p95_ms,namespace_entries,packed_create_fraction,total_promotions,promoted_hot,promoted_cold,predicted_hot_dirs,layout_failures
hotcold_cold70_access10,oracle_hotcold_mix,predictor,1,8001,results/cloudlab-comprehensive-20260506-3x/hotcold_cold70_access10__predictor__r1.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold70_access10__predictor__r1.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold70_access10__predictor__r1.log,1569.858841,15.287999,15.689469,1.8194596666666667,1509,0.666667,0,0,0,16,0
hotcold_cold70_access10,oracle_hotcold_mix,predictor,2,8002,results/cloudlab-comprehensive-20260506-3x/hotcold_cold70_access10__predictor__r2.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold70_access10__predictor__r2.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold70_access10__predictor__r2.log,1462.368355,16.411734,16.724018,1.8415193333333333,1509,0.666667,0,0,0,10,0
hotcold_cold90_access10,oracle_hotcold_mix,native,0,8000,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__native__r0.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__native__r0.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__native__r0.log,233.159687,102.933746,103.752145,179.295437,4565,0.0,0,0,0,0,0
hotcold_cold90_access10,oracle_hotcold_mix,native,1,8001,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__native__r1.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__native__r1.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__native__r1.log,386.411449,62.109961,62.810891,87.57858216666666,4565,0.0,0,0,0,0,0
hotcold_cold90_access10,oracle_hotcold_mix,native,2,8002,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__native__r2.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__native__r2.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__native__r2.log,382.465162,62.750813,63.233647,89.8754935,4565,0.0,0,0,0,0,0
hotcold_cold90_access10,oracle_hotcold_mix,oracle,0,8000,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__oracle__r0.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__oracle__r0.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__oracle__r0.log,797.619702,30.089528,30.35167,83.64433466666667,1809,0.6,0,0,0,0,0
hotcold_cold90_access10,oracle_hotcold_mix,oracle,1,8001,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__oracle__r1.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__oracle__r1.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__oracle__r1.log,1592.62226,15.069487,15.591678,2.2836865,1809,0.6,0,0,0,0,0
hotcold_cold90_access10,oracle_hotcold_mix,oracle,2,8002,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__oracle__r2.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__oracle__r2.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__oracle__r2.log,955.137877,25.127262,25.333153,33.7402425,1809,0.6,0,0,0,0,0
hotcold_cold90_access10,oracle_hotcold_mix,predictor,0,8000,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__predictor__r0.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__predictor__r0.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__predictor__r0.log,1187.304874,20.213848,20.367935,21.2297865,1509,0.666667,0,0,0,10,0
hotcold_cold90_access10,oracle_hotcold_mix,predictor,1,8001,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__predictor__r1.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__predictor__r1.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__predictor__r1.log,1393.912711,17.217721,17.528184,1.865869,1509,0.666667,0,0,0,8,0
