Output directory: results/cloudlab-comprehensive-20260506-3x
START hotcold_cold70_access10__native__r1 2026-05-06T13:20:50-06:00
DONE hotcold_cold70_access10__native__r1 1778095350s
START hotcold_cold90_access10__predictor__r0 2026-05-06T13:22:35-06:00
DONE hotcold_cold90_access10__predictor__r0 1778095377s
START filebench_varmail_like__oracle__r1 2026-05-06T13:23:02-06:00
DONE filebench_varmail_like__oracle__r1 1778095394s
START filebench_varmail_like__native__r1 2026-05-06T13:23:19-06:00
DONE filebench_varmail_like__native__r1 1778095526s
START hotcold_cold90_access20__native__r2 2026-05-06T13:25:31-06:00
DONE hotcold_cold90_access20__native__r2 1778095596s
START hotcold_cold90_access20__native__r0 2026-05-06T13:26:41-06:00
DONE hotcold_cold90_access20__native__r0 1778095662s
Finished: 2026-05-06T13:27:47-06:00
Summary: results/cloudlab-comprehensive-20260506-3x/summary.md
