count,run_id,total_seconds,workers,ops_per_sec,latency_p50_ms,latency_p99_ms,latency_p95_ms,phase,latency_mean_ms,operation,backend
20,20260429-053643-82bd2555,0.029835,1,670.354,0.669479,13.06262,2.832174,mdtest_tree,1.479292,create,ceph-libcephfs
20,20260429-053643-82bd2555,0.001715,1,11662.183,0.035048,0.780458,0.090456,mdtest_tree,0.081849,stat,ceph-libcephfs
20,20260429-053643-82bd2555,0.004724,1,4233.677,0.074983,2.206788,0.417638,mdtest_tree,0.230062,read,ceph-libcephfs
20,20260429-053643-82bd2555,0.007691,1,2600.474,0.351429,0.83648,0.42969,mdtest_tree,0.378585,delete,ceph-libcephfs
