host,port,clients,operations,keys,value_size,get_ratio,zipf_s,warmup,prefill,elapsed_seconds,throughput_rps,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,measured_ok_responses,measured_errors,warmup_ok_responses,warmup_errors
10.10.1.1,9091,1,100000,1024,0,1,0,5000,1,0.549124,182108,4.75818,4,8,12,100000,0,5000,0
10.10.1.1,9091,2,100000,1024,0,1,0,5000,1,0.299183,334244,4.80017,4,8,12,100000,0,5000,0
10.10.1.1,9091,4,100000,1024,0,1,0,5000,1,0.164116,609325,4.79656,4,8,12,100000,0,5000,0
10.10.1.1,9091,8,100000,1024,0,1,0,5000,1,0.100635,993687,4.81958,4,8,12,100000,0,5000,0
