label,transport,clients,metadata,pid,started_at,ended_at,duration_s,samples,avg_process_cpu_percent,max_process_cpu_percent,avg_host_cpu_percent,max_host_cpu_percent
TCP,tcp,1,0,23162,2026-05-03T20:58:41+00:00,2026-05-03T20:58:53+00:00,11.596,58,16.306,25.063,0.946,1.985
TCP,tcp,2,0,23162,2026-05-03T20:58:53+00:00,2026-05-03T20:58:59+00:00,5.913,30,29.978,35.264,1.872,3.226
TCP,tcp,4,0,23162,2026-05-03T20:58:59+00:00,2026-05-03T20:59:02+00:00,3.276,17,50.643,65.327,3.546,4.738
TCP,tcp,8,0,23162,2026-05-03T20:59:02+00:00,2026-05-03T20:59:04+00:00,1.501,8,60.577,75.377,5.059,6.931
Two-Sided RDMA,two_sided_rdma,1,0,23193,2026-05-03T21:00:44+00:00,2026-05-03T21:00:45+00:00,1.259,7,83.134,100.000,4.192,5.224
Two-Sided RDMA,two_sided_rdma,2,0,23193,2026-05-03T21:00:45+00:00,2026-05-03T21:00:46+00:00,1.058,6,135.643,200.000,6.782,9.975
Two-Sided RDMA,two_sided_rdma,4,0,23193,2026-05-03T21:00:46+00:00,2026-05-03T21:00:47+00:00,0.474,3,260.522,399.002,12.709,19.950
Two-Sided RDMA,two_sided_rdma,8,0,23193,2026-05-03T21:00:47+00:00,2026-05-03T21:00:47+00:00,0.330,2,532.113,628.429,26.271,31.920
One-Sided RDMA,one_sided_rdma,1,0,23276,2026-05-03T21:01:20+00:00,2026-05-03T21:01:20+00:00,0.605,4,0.000,0.000,5.124,20.000
One-Sided RDMA,one_sided_rdma,2,0,23276,2026-05-03T21:01:21+00:00,2026-05-03T21:01:21+00:00,0.355,2,2.494,4.988,0.125,0.249
One-Sided RDMA,one_sided_rdma,4,0,23276,2026-05-03T21:01:21+00:00,2026-05-03T21:01:21+00:00,0.219,2,0.000,0.000,0.000,0.000
One-Sided RDMA,one_sided_rdma,8,0,23276,2026-05-03T21:01:21+00:00,2026-05-03T21:01:21+00:00,0.148,1,13.605,13.605,0.340,0.340
One-Sided RDMA + Metadata,one_sided_rdma_metadata,1,1,23276,2026-05-03T21:01:21+00:00,2026-05-03T21:01:22+00:00,0.931,5,0.000,0.000,0.050,0.249
One-Sided RDMA + Metadata,one_sided_rdma_metadata,2,1,23276,2026-05-03T21:01:22+00:00,2026-05-03T21:01:23+00:00,0.525,3,0.000,0.000,0.166,0.498
One-Sided RDMA + Metadata,one_sided_rdma_metadata,4,1,23276,2026-05-03T21:01:23+00:00,2026-05-03T21:01:23+00:00,0.303,2,2.506,5.013,0.245,0.490
One-Sided RDMA + Metadata,one_sided_rdma_metadata,8,1,23276,2026-05-03T21:01:23+00:00,2026-05-03T21:01:24+00:00,0.196,1,5.141,5.141,0.514,0.514
