label,transport,clients,metadata,operations,netdev,rx_bytes_before,tx_bytes_before,rx_bytes_after,tx_bytes_after,rx_bytes_delta,tx_bytes_delta,total_bytes_delta,rx_bytes_per_operation,tx_bytes_per_operation,total_bytes_per_operation
TCP,tcp,1,0,100000,ens1f1np1,230119377,350909320,239326698,365010456,9207321,14101136,23308457,92.073,141.011,233.085
TCP,tcp,2,0,100000,ens1f1np1,239327254,365011578,248539463,379108160,9212209,14096582,23308791,92.122,140.966,233.088
TCP,tcp,4,0,100000,ens1f1np1,248540019,379109281,257755699,393203351,9215680,14094070,23309750,92.157,140.941,233.097
TCP,tcp,8,0,100000,ens1f1np1,257756255,393204472,266966267,407306710,9210012,14102238,23312250,92.100,141.022,233.123
Two-Sided RDMA,two_sided_rdma,1,0,100000,ens1f1np1,340661748,520104920,340663131,520105939,1383,1019,2402,0.014,0.010,0.024
Two-Sided RDMA,two_sided_rdma,2,0,100000,ens1f1np1,340663720,520107099,340665555,520108438,1835,1339,3174,0.018,0.013,0.032
Two-Sided RDMA,two_sided_rdma,4,0,100000,ens1f1np1,340666144,520109599,340668883,520111578,2739,1979,4718,0.027,0.020,0.047
Two-Sided RDMA,two_sided_rdma,8,0,100000,ens1f1np1,340669472,520112741,340674019,520116198,4547,3457,8004,0.045,0.035,0.080
One-Sided RDMA,one_sided_rdma,1,0,100000,ens1f1np1,340700328,520142574,340701259,520143339,931,765,1696,0.009,0.008,0.017
One-Sided RDMA,one_sided_rdma,2,0,100000,ens1f1np1,340701848,520144495,340703231,520145514,1383,1019,2402,0.014,0.010,0.024
One-Sided RDMA,one_sided_rdma,4,0,100000,ens1f1np1,340703820,520146671,340706107,520148330,2287,1659,3946,0.023,0.017,0.039
One-Sided RDMA,one_sided_rdma,8,0,100000,ens1f1np1,340706696,520149487,340710791,520152624,4095,3137,7232,0.041,0.031,0.072
One-Sided RDMA + Metadata,one_sided_rdma_metadata,1,1,100000,ens1f1np1,340711409,520153783,340712349,520154491,940,708,1648,0.009,0.007,0.016
One-Sided RDMA + Metadata,one_sided_rdma_metadata,2,1,100000,ens1f1np1,340712967,520155695,340714359,520156723,1392,1028,2420,0.014,0.010,0.024
One-Sided RDMA + Metadata,one_sided_rdma_metadata,4,1,100000,ens1f1np1,340714977,520157929,340717273,520159597,2296,1668,3964,0.023,0.017,0.040
One-Sided RDMA + Metadata,one_sided_rdma_metadata,8,1,100000,ens1f1np1,340717891,520160803,340721995,520163817,4104,3014,7118,0.041,0.030,0.071
