host,port,clients,operations,keys,value_size,get_ratio,zipf_s,warmup,prefill,elapsed_seconds,throughput_rps,mean_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,measured_ok_responses,measured_errors,warmup_ok_responses,warmup_errors
10.10.1.1,9090,1,100000,1024,64,0.95,0.8,5000,1,11.4955,8699.05,108.608,110,114,147,100000,0,5000,0
10.10.1.1,9090,2,100000,1024,64,0.95,0.8,5000,1,5.81064,17209.8,109.435,111,116,131,100000,0,5000,0
10.10.1.1,9090,4,100000,1024,64,0.95,0.8,5000,1,3.17378,31508.2,109.935,111,132,151,100000,0,5000,0
10.10.1.1,9090,8,100000,1024,64,0.95,0.8,5000,1,1.39833,71513.9,95.7052,93,132,163,100000,0,5000,0
